brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
2,1.0,Core i3,,,1.0,,,,1,,,,0,2,36990,,103,10
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,39990,,324,45
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,41990,,69,5
6,1.0,Core i3,,,1.0,,,,2,,,,0,2,43970,,16,0
5,1.0,Core i3,,,1.0,,,,1,,,,0,2,39790,,40,3
1,1.0,Core i3,,,1.0,,,,2,,,,0,2,35590,,12,1
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,36490,,1146,175
1,1.0,Core i3,,,1.0,,,,1,,,,0,1,38990,,1850,216
1,1.0,Core i3,,,1.0,,,,2,,,,0,2,33990,,43,7
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,43400,,231,26
1,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,24990,,502,93
5,1.0,Core i3,,,1.0,,,,1,,,,0,1,40750,,1096,116
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,43000,,313,35
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,38000,,7,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,37990,,265,46
5,1.0,Core i3,,,1.0,,,,1,,,,0,2,49279,,38,3
2,1.0,Core i3,,,1.0,,,,2,,,,0,2,38999,,7,2
1,1.0,Core i3,,,1.0,,,,2,,,,0,2,41500,,4,0
3,1.0,Core i3,,,1.0,,,,2,,,,0,2,36999,,0,0
6,1.0,Core i3,,,1.0,,,,2,,,,0,2,42900,,0,0
1,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,21490,,818,113
6,1.0,Core i3,,,1.0,,,,2,,,,0,2,41480,,25,4
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,32990,,12,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,38680,,17,1
1,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,23990,,974,170
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,40390,,83,15
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,33990,,31,6
1,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,20490,,637,91
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,41490,,7,5
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,45490,,207,16
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,44490,,844,103
1,1.0,Core i3,,,1.0,,,,1,,,,0,1,41890,,53,6
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,42990,,62,7
3,1.0,Core i3,,,1.0,,,,1,,,,0,2,40990,,38,2
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,48990,,724,92
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,43590,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,44690,,9,0
1,1.0,Core i3,,,1.0,,,,1,,,,0,2,40990,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,43990,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,43590,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,41390,,56,7
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,44290,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,48999,,0,0
6,1.0,Core i3,,,1.0,,,,1,,,,0,1,39990,,170,11
6,1.0,Core i3,,,1.0,,,,1,,,,0,2,46390,,95,5
1,1.0,Celeron Dual,,,3.0,,,,1,,,,0,2,18990,,197,25
1,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,17990,,1180,148
5,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,26470,,232,23
5,1.0,Celeron Dual,,,1.0,,,,1,,,,0,2,27990,,596,65
2,1.0,Celeron Dual,,,1.0,,,,2,,,,0,2,29999,,19,1
2,1.0,Celeron Dual,,,,,,,1,,,,0,2,25990,,84,16
2,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,16990,,414,54
2,1.0,Celeron Dual,,,3.0,,,,2,,,,0,2,24990,,70,16
3,1.0,Core i5,,,,,,,2,,,,0,2,50990,,10966,1185
3,1.0,Core i5,,,3.0,,,,2,,,,0,2,119990,,1,1
3,1.0,Core i5,,,3.0,,,,2,,,,0,2,94190,,31,6
1,1.0,Core i5,,,3.0,,,,2,,,,0,2,106167,,1881,241
6,1.0,Core i5,,,3.0,,,,2,,,,0,2,68090,,23,4
6,1.0,Core i5,,,3.0,,,,2,,,,0,2,139990,,0,0
5,1.0,Core i5,,,3.0,,,,2,,,,0,2,55990,,818,109
5,1.0,Core i5,,,3.0,,,,2,,,,0,2,102551,,0,0
2,1.0,Core i5,,,3.0,,,,2,,,,0,2,46990,,4428,569
5,1.0,Core i5,,,1.0,,,,1,,,,0,2,76012,,129,16
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,49490,,365,35
3,1.0,Core i5,,,2.0,,,,1,,,,0,1,86867,,39,3
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,48990,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,55990,,3,0
3,1.0,Core i5,,,2.0,,,,1,,,,1,1,81998,,14,3
5,1.0,Core i5,,,1.0,,,,1,,,,1,1,136590,,0,0
3,1.0,Core i5,,,1.0,,,,1,,,,0,2,59490,,33,7
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,49800,,0,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,61999,,4,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,2,54990,,116,15
5,1.0,Core i5,,,1.0,,,,1,,,,0,2,53990,,206,17
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,52990,,300,24
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,67990,,108,6
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,57990,,3712,412
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,62300,,825,95
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,52990,,0,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,51990,,85,4
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,61990,,56,7
1,1.0,Core i5,,,,,,,2,,,,1,1,63990,,10,1
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,65990,,17,4
3,1.0,Core i5,,,1.0,,,,1,,,,0,2,52990,,155,20
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,49990,,0,0
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,71990,,91,17
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,47990,,35,2
2,1.0,Core i5,,,1.0,,,,2,,,,0,1,48490,,126,13
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,72990,,74,10
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,76990,,75,17
1,1.0,Core i5,,,1.0,,,,1,,,,0,1,89990,,124,17
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,59990,,1597,228
1,1.0,Core i5,,,1.0,,,,1,,,,0,1,65990,,3850,378
6,1.0,Core i5,,,1.0,,,,1,,,,1,2,71990,,7,1
6,1.0,Core i5,,,1.0,,,,1,,,,1,2,71890,,3,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,64990,,0,0
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,65990,,0,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,2,55999,,5,1
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,73490,,213,45
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,74490,,10,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,58340,,69,6
3,1.0,Core i5,,,1.0,,,,1,,,,0,2,55999,,6,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,67990,,93,9
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,59990,,11,2
1,1.0,Core i5,,,1.0,,,,1,,,,0,1,82990,,262,31
6,1.0,Core i5,,,1.0,,,,1,,,,0,1,64190,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,70090,,5,1
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,49990,,45,3
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,55490,,8,1
5,1.0,Core i5,,,,,,,1,,,,1,2,97990,,3,1
1,1.0,Core i5,,,1.0,,,,1,,,,0,1,54990,,1681,227
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,59990,,37,2
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,53990,,61,2
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,66999,,17,1
3,1.0,Core i5,,,,,,,1,,,,0,1,60990,,17,1
1,1.0,Core i5,,,1.0,,,,1,,,,0,1,47990,,1625,152
5,1.0,Core i5,,,1.0,,,,2,,,,0,1,59999,,4,1
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,79990,,0,0
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,63990,,0,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,63990,,17,1
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,59990,,0,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,55990,,0,0
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,59990,,0,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,63990,,3,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,1,69490,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,1,1,89390,,0,0
1,1.0,Core i5,,,,,,,1,,,,0,2,74990,,0,0
2,1.0,Core i5,,,1.0,,,,1,,,,1,1,64990,,48,12
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,66490,,282,36
6,1.0,Core i5,,,1.0,,,,1,,,,0,1,89702,,0,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,70990,,67,4
1,1.0,Core i5,,,1.0,,,,1,,,,1,1,58990,,0,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,57500,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,1,1,79990,,23,2
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,56541,,677,87
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,59990,,3,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,64990,,46,4
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,61290,,4,1
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,54990,,9,1
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,59990,,26,4
1,1.0,Core i5,,,1.0,,,,2,,,,0,2,84990,,5,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,72500,,40,3
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,59990,,44,6
2,1.0,Core i5,,,1.0,,,,1,,,,1,1,87990,,28,6
5,1.0,Core i5,,,1.0,,,,1,,,,0,2,57990,,1541,123
6,1.0,Core i5,,,1.0,,,,1,,,,0,1,69490,,72,7
2,1.0,Core i5,,,1.0,,,,1,,,,1,1,68990,,44,8
2,1.0,Core i5,,,1.0,,,,2,,,,0,1,77990,,17,2
1,1.0,Core i5,,,,,,,1,,,,1,2,105990,,59,11
7,1.0,Core i5,,,,,,,1,,,,0,2,79990,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,1,55490,,337,27
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,69990,,10,2
1,1.0,Core i5,,,1.0,,,,1,,,,1,1,84990,,10,2
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,59990,,31,7
6,1.0,Core i5,,,,,,,1,,,,0,1,111890,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,65990,,10,0
1,1.0,Core i5,,,,,,,2,,,,0,1,72990,,76,14
6,1.0,Core i5,,,1.0,,,,1,,,,0,1,71090,,44,6
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,74990,,0,0
1,1.0,Core i5,,,4.0,,,,1,,,,0,1,79990,,11,3
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,55490,,138,16
6,1.0,Core i5,,,1.0,,,,1,,,,0,1,66490,,199,17
1,1.0,Core i5,,,1.0,,,,1,,,,0,1,53400,,46,6
6,1.0,Core i5,,,1.0,,,,1,,,,1,1,74500,,45,5
6,1.0,Core i5,,,,,,,1,,,,0,1,114990,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,61990,,35,4
8,1.0,Core i5,,,,,,,1,,,,0,2,159990,,32,5
8,1.0,Core i5,,,2.0,,,,1,,,,0,2,172090,,108,13
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,74990,,0,0
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,56490,,814,112
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,147000,,0,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,55990,,75,9
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,77990,,0,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,106490,,3,0
2,1.0,Core i5,,,1.0,,,,2,,,,0,1,70990,,11,3
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,64990,,125,11
3,1.0,Core i5,,,1.0,,,,1,,,,0,2,57990,,0,0
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,64990,,4,0
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,54990,,714,147
5,1.0,Core i5,,,,,,,1,,,,1,2,111999,,0,0
2,1.0,Core i5,,,,,,,1,,,,0,1,70798,,21,3
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,59990,,9,1
3,1.0,Core i5,,,1.0,,,,1,,,,0,2,99500,,0,0
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,55990,,30,4
1,1.0,Core i5,,,4.0,,,,1,,,,0,2,72990,,44,4
3,1.0,Core i5,,,2.0,,,,1,,,,0,2,64990,,4,1
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,57990,,0,0
5,1.0,Core i5,,,1.0,,,,1,,,,1,1,76990,,14,2
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,62998,,739,71
6,1.0,Core i5,,,1.0,,,,1,,,,1,1,77990,,31,5
5,1.0,Core i5,,,1.0,,,,1,,,,1,1,114990,,145,19
6,1.0,Core i5,,,1.0,,,,1,,,,0,1,65990,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,1,88990,,19,2
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,113590,,0,0
1,1.0,Core i5,,,,,,,1,,,,1,1,73990,,32,6
5,1.0,Core i5,,,1.0,,,,1,,,,0,1,61000,,1124,100
1,1.0,Core i5,,,,,,,1,,,,1,2,99990,,35,6
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,67990,,9,0
6,1.0,Core i5,,,1.0,,,,1,,,,1,1,70799,,98,6
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,65990,,31,2
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,53690,,19,3
7,1.0,Core i5,,,1.0,,,,1,,,,0,2,55990,,0,0
1,1.0,Core i5,,,1.0,,,,1,,,,0,1,53190,,11,0
2,1.0,Core i5,,,1.0,,,,2,,,,0,1,58999,,45,3
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,71990,,0,0
5,1.0,Core i5,,,1.0,,,,2,,,,0,2,82000,,0,0
1,1.0,Core i5,,,,,,,1,,,,0,2,84990,,0,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,89998,,0,0
1,1.0,Core i5,,,,,,,1,,,,1,2,99990,,0,0
1,1.0,Core i5,,,,,,,1,,,,0,2,84990,,0,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,2,69899,,474,37
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,79990,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,76300,,6,0
2,1.0,Core i5,,,1.0,,,,1,,,,0,1,55999,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,0,2,72900,,24,4
6,1.0,Core i5,,,1.0,,,,1,,,,1,1,73990,,195,17
1,1.0,Core i5,,,3.0,,,,1,,,,0,2,84990,,0,0
6,1.0,Core i5,,,1.0,,,,2,,,,0,2,73519,,0,0
5,1.0,Core i5,,,1.0,,,,1,,,,1,2,126000,,2,1
1,1.0,Core i5,,,1.0,,,,1,,,,0,2,88990,,0,0
5,1.0,Core i5,,,1.0,,,,1,,,,1,1,114999,,0,0
6,1.0,Core i5,,,1.0,,,,1,,,,1,1,82990,,21,2
